Product ,Price,Status(Active-A and Deactive -D)
Alphonso Mango (1 Dz),10,A
Alphonso Mango (Half Dz),20,A
Amaranthus Green,25,A
Amaranthus Red,10,A
Amla,10,A
Apple Ber,10,A
